ID,Region,Area,Type,Status
MOMO-UAE-427,UAE,Business Bay,Luxury Residential,Verified
MOMO-USA-428,USA,"Austin, TX",A-Grade Office,Verified
MOMO-UAE-429,UAE,Dubai Hills,A-Grade Office,Verified
MOMO-GER-430,GER,Munich,Industrial Log.,Verified
MOMO-UK-431,UK,Manchester,Industrial Log.,Verified
MOMO-AUS-432,AUS,Sydney,Luxury Residential,Verified
MOMO-UAE-433,UAE,Business Bay,Luxury Residential,Verified
MOMO-UK-434,UK,Manchester,A-Grade Office,Verified
MOMO-UK-435,UK,Canary Wharf,Luxury Residential,Verified
MOMO-AUS-436,AUS,Sydney,Luxury Residential,Verified
MOMO-GER-437,GER,Munich,Luxury Residential,Verified
MOMO-UK-438,UK,Manchester,Luxury Residential,Verified
MOMO-USA-439,USA,"Austin, TX",A-Grade Office,Verified
MOMO-AUS-440,AUS,Melbourne,A-Grade Office,Verified
MOMO-AUS-441,AUS,Perth,Luxury Residential,Verified
MOMO-USA-442,USA,"Austin, TX",A-Grade Office,Verified
MOMO-UK-443,UK,Manchester,A-Grade Office,Verified
MOMO-UK-444,UK,Mayfair,A-Grade Office,Verified
MOMO-AUS-445,AUS,Perth,A-Grade Office,Verified
MOMO-AUS-446,AUS,Melbourne,Luxury Residential,Verified
MOMO-UAE-447,UAE,Business Bay,Luxury Residential,Verified
MOMO-AUS-448,AUS,Perth,Industrial Log.,Verified
MOMO-UAE-449,UAE,Dubai Hills,Luxury Residential,Verified
MOMO-USA-450,USA,"Miami, FL",Industrial Log.,Verified
MOMO-UAE-451,UAE,Palm Jumeirah,A-Grade Office,Verified
MOMO-UAE-452,UAE,Palm Jumeirah,A-Grade Office,Verified
MOMO-UK-453,UK,Mayfair,Industrial Log.,Verified
MOMO-UAE-454,UAE,Palm Jumeirah,A-Grade Office,Verified
MOMO-UAE-455,UAE,Palm Jumeirah,A-Grade Office,Verified
MOMO-UAE-456,UAE,Dubai Hills,A-Grade Office,Verified
MOMO-GER-457,GER,Frankfurt,A-Grade Office,Verified
MOMO-UAE-458,UAE,Palm Jumeirah,Luxury Residential,Verified
MOMO-AUS-459,AUS,Melbourne,Luxury Residential,Verified
MOMO-GER-460,GER,"Mitte, Berlin",Industrial Log.,Verified
MOMO-USA-461,USA,"Miami, FL",Luxury Residential,Verified
MOMO-UAE-462,UAE,Palm Jumeirah,Industrial Log.,Verified
MOMO-GER-463,GER,Munich,Luxury Residential,Verified
MOMO-UAE-464,UAE,Palm Jumeirah,Luxury Residential,Verified
MOMO-UK-465,UK,Mayfair,Luxury Residential,Verified
MOMO-AUS-466,AUS,Melbourne,Industrial Log.,Verified
MOMO-USA-467,USA,"Manhattan, NY",A-Grade Office,Verified
MOMO-AUS-468,AUS,Perth,Industrial Log.,Verified
MOMO-GER-469,GER,Frankfurt,Luxury Residential,Verified
MOMO-UAE-470,UAE,Palm Jumeirah,Industrial Log.,Verified
MOMO-GER-471,GER,Munich,Industrial Log.,Verified
MOMO-UK-472,UK,Manchester,A-Grade Office,Verified
MOMO-USA-473,USA,"Austin, TX",A-Grade Office,Verified
MOMO-UK-474,UK,Canary Wharf,Luxury Residential,Verified
MOMO-UK-475,UK,Mayfair,Industrial Log.,Verified
MOMO-UAE-476,UAE,Palm Jumeirah,A-Grade Office,Verified
MOMO-UAE-477,UAE,Business Bay,Luxury Residential,Verified
MOMO-UK-478,UK,Manchester,Luxury Residential,Verified
MOMO-USA-479,USA,"Miami, FL",Luxury Residential,Verified
MOMO-AUS-480,AUS,Melbourne,Luxury Residential,Verified
MOMO-AUS-481,AUS,Sydney,Luxury Residential,Verified
MOMO-UAE-482,UAE,Palm Jumeirah,Industrial Log.,Verified
MOMO-AUS-483,AUS,Sydney,Industrial Log.,Verified
MOMO-UK-484,UK,Canary Wharf,A-Grade Office,Verified
MOMO-USA-485,USA,"Miami, FL",Industrial Log.,Verified
MOMO-AUS-486,AUS,Melbourne,A-Grade Office,Verified
MOMO-UK-487,UK,Canary Wharf,Luxury Residential,Verified
MOMO-AUS-488,AUS,Melbourne,A-Grade Office,Verified
MOMO-UK-489,UK,Canary Wharf,Luxury Residential,Verified
MOMO-AUS-490,AUS,Perth,Industrial Log.,Verified
MOMO-GER-491,GER,Frankfurt,A-Grade Office,Verified
MOMO-USA-492,USA,"Miami, FL",Luxury Residential,Verified
MOMO-GER-493,GER,Frankfurt,A-Grade Office,Verified
MOMO-AUS-494,AUS,Perth,Luxury Residential,Verified
MOMO-AUS-495,AUS,Perth,Industrial Log.,Verified
MOMO-AUS-496,AUS,Melbourne,Industrial Log.,Verified
MOMO-AUS-497,AUS,Melbourne,A-Grade Office,Verified
MOMO-UK-498,UK,Canary Wharf,Luxury Residential,Verified
MOMO-AUS-499,AUS,Perth,Luxury Residential,Verified
MOMO-GER-500,GER,Frankfurt,Industrial Log.,Verified
AU-SYD-101,Australia,Sydney,House,Verified
AU-MEL-202,Australia,Melbourne,Apartment,Active
AU-PER-303,Australia,Perth,House,Record High
AU-BNE-404,Australia,Brisbane,Townhouse,High Demand
AG-001,Downtown Dubai,Executive Agent,N/A,ahmed.dxb@bayut.agent
AG-002,Palm Jumeirah,Luxury Specialist,N/A,sarah.palm@bayut.agent
AG-003,Dubai Marina,Senior Broker,N/A,mike.marina@bayut.agent
AG-004,Business Bay,Commercial Lead,N/A,youssef.bb@bayut.agent
